Algorithm,Map,Num_Agents,Avg_Steps,Collision_Frequency,Success_Rate
Astar,1,1,6.148,0.0,1.0
Astar,1,2,7.504,0.204,1.0
Astar,1,3,9.297,1.605,0.995
Astar,1,4,10.072,2.579,0.993
Astar,2,1,4.338,0.0,1.0
Astar,2,2,6.273,1.031,0.996
Astar,2,3,7.853,2.686,0.99
Astar,2,4,11.495,6.687,0.973
Astar,3,1,5.114,0.0,1.0
Astar,3,2,7.2,1.04,0.996
Astar,3,3,8.223,1.931,0.994
Astar,3,4,9.484,3.53,0.989
Astar,4,1,6.048,0.0,1.0
Astar,4,2,7.684,0.388,0.999
Astar,4,3,8.399,0.613,1.0
Astar,4,4,10.415,2.775,0.992
Astar,5,1,12.926,0.0,0.971
Astar,5,2,23.647,0.437,0.924
Astar,5,3,29.27,0.784,0.899
Astar,5,4,42.997,1.912,0.83
Astar,6,1,9.491,0.0,1.0
Astar,6,2,12.399,0.327,1.0
Astar,6,3,14.177,1.255,0.998
Astar,6,4,14.797,1.923,0.999
Dstar,1,1,5.99,0.0,1.0
Dstar,1,2,21.404,14.665,0.851
Dstar,1,3,46.788,41.568,0.586
Dstar,1,4,68.13,66.094,0.356
Dstar,2,1,4.389,0.0,1.0
Dstar,2,2,27.304,22.792,0.77
Dstar,2,3,56.484,54.538,0.466
Dstar,2,4,77.457,83.131,0.245
Dstar,3,1,5.341,0.0,1.0
Dstar,3,2,27.005,21.633,0.781
Dstar,3,3,55.769,52.8,0.48
Dstar,3,4,78.342,79.311,0.241
Dstar,4,1,6.056,0.0,1.0
Dstar,4,2,22.413,15.66,0.841
Dstar,4,3,48.642,44.041,0.565
Dstar,4,4,70.995,70.179,0.326
Dstar,5,1,17.604,0.0,0.946
Dstar,5,2,40.549,17.953,0.74
Dstar,5,3,70.14,46.21,0.441
Dstar,5,4,94.708,64.628,0.238
Dstar,6,1,9.5,0.0,1.0
Dstar,6,2,32.623,22.375,0.77
Dstar,6,3,60.578,51.995,0.469
Dstar,6,4,81.524,78.307,0.231
Q_learning,1,1,4.0,0.0,1.0
Q_learning,1,2,6.0,0.0,1.0
Q_learning,1,3,6.0,1.0,1.0
Q_learning,1,4,4.0,0.0,1.0
Q_learning,2,1,7.0,0.0,1.0
Q_learning,2,2,6.0,0.0,1.0
Q_learning,2,3,3.0,0.0,1.0
Q_learning,2,4,7.0,1.0,1.0
Q_learning,3,1,4.0,0.0,1.0
Q_learning,3,2,6.0,0.0,1.0
Q_learning,3,3,5.0,0.0,1.0
Q_learning,3,4,7.0,0.0,1.0
Q_learning,4,1,3.0,0.0,1.0
Q_learning,4,2,8.0,0.0,1.0
Q_learning,4,3,6.0,0.0,1.0
Q_learning,4,4,6.0,0.0,1.0
Q_learning,5,1,7.0,0.0,1.0
Q_learning,5,2,3.0,0.0,1.0
Q_learning,5,3,10.0,0.0,1.0
Q_learning,5,4,11.0,1.0,1.0
Q_learning,6,1,2.0,0.0,1.0
Q_learning,6,2,10.0,0.0,1.0
Q_learning,6,3,11.0,0.0,1.0
Q_learning,6,4,11.0,0.0,1.0
