Map,Num_Agents,Avg_Steps,Collision_Frequency,Success_Rate
1,1,6.148,0.0,1.0
1,2,7.504,0.204,1.0
1,3,9.297,1.605,0.995
1,4,10.072,2.579,0.993
2,1,4.338,0.0,1.0
2,2,6.273,1.031,0.996
2,3,7.853,2.686,0.99
2,4,11.495,6.687,0.973
3,1,5.114,0.0,1.0
3,2,7.2,1.04,0.996
3,3,8.223,1.931,0.994
3,4,9.484,3.53,0.989
4,1,6.048,0.0,1.0
4,2,7.684,0.388,0.999
4,3,8.399,0.613,1.0
4,4,10.415,2.775,0.992
5,1,12.926,0.0,0.971
5,2,23.647,0.437,0.924
5,3,29.27,0.784,0.899
5,4,42.997,1.912,0.83
6,1,9.491,0.0,1.0
6,2,12.399,0.327,1.0
6,3,14.177,1.255,0.998
6,4,14.797,1.923,0.999
