Map,Num_Agents,Avg_Steps,Collision_Frequency,Success_Rate
1,1,5.99,0.0,1.0
1,2,21.404,14.665,0.851
1,3,46.788,41.568,0.586
1,4,68.13,66.094,0.356
2,1,4.389,0.0,1.0
2,2,27.304,22.792,0.77
2,3,56.484,54.538,0.466
2,4,77.457,83.131,0.245
3,1,5.341,0.0,1.0
3,2,27.005,21.633,0.781
3,3,55.769,52.8,0.48
3,4,78.342,79.311,0.241
4,1,6.056,0.0,1.0
4,2,22.413,15.66,0.841
4,3,48.642,44.041,0.565
4,4,70.995,70.179,0.326
5,1,17.604,0.0,0.946
5,2,40.549,17.953,0.74
5,3,70.14,46.21,0.441
5,4,94.708,64.628,0.238
6,1,9.5,0.0,1.0
6,2,32.623,22.375,0.77
6,3,60.578,51.995,0.469
6,4,81.524,78.307,0.231
